2025-08-27 12:41:38,403 - AUTH - INFO - Auth Event: {'username': 'ravishyam121', 'event_type': 'FACULTY_LOGIN_SUCCESS', 'success': True, 'details': 'Faculty Ravi Shyam logged in', 'request_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0', 'timestamp': '2025-08-27T12:41:38.403459'}
2025-08-27 18:22:23,104 - AUTH - INFO - Auth Event: {'username': 'ravishyam121', 'event_type': 'LOGOUT', 'success': True, 'details': 'User logged out from faculty role', 'request_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0', 'timestamp': '2025-08-27T18:22:23.104014'}
2025-08-27 18:22:31,041 - AUTH - INFO - Auth Event: {'username': 'student1', 'event_type': 'STUDENT_LOGIN_SUCCESS', 'success': True, 'details': 'Student Alice Johnson logged in', 'request_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0', 'timestamp': '2025-08-27T18:22:31.041285'}
2025-08-27 18:23:19,555 - AUTH - INFO - Auth Event: {'username': 'ravishyam121', 'event_type': 'FACULTY_LOGIN_SUCCESS', 'success': True, 'details': 'Faculty Ravi Shyam logged in', 'request_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0', 'timestamp': '2025-08-27T18:23:19.555479'}
2025-08-27 18:23:55,862 - AUTH - INFO - Auth Event: {'username': 'student1', 'event_type': 'STUDENT_LOGIN_SUCCESS', 'success': True, 'details': 'Student Alice Johnson logged in', 'request_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0', 'timestamp': '2025-08-27T18:23:55.861870'}
2025-08-27 18:24:28,703 - AUTH - INFO - Auth Event: {'username': 'student1', 'event_type': 'STUDENT_LOGIN_SUCCESS', 'success': True, 'details': 'Student Alice Johnson logged in', 'request_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0', 'timestamp': '2025-08-27T18:24:28.703007'}
2025-08-27 18:35:35,432 - AUTH - INFO - Auth Event: {'username': 'student1', 'event_type': 'LOGOUT', 'success': True, 'details': 'User logged out from student role', 'request_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0', 'timestamp': '2025-08-27T18:35:35.432359'}
2025-08-27 18:36:57,008 - AUTH - INFO - Auth Event: {'username': 'student1', 'event_type': 'STUDENT_LOGIN_SUCCESS', 'success': True, 'details': 'Student Alice Johnson logged in', 'request_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0', 'timestamp': '2025-08-27T18:36:57.008109'}
2025-08-27 18:38:45,566 - AUTH - INFO - Auth Event: {'username': 'student1', 'event_type': 'LOGOUT', 'success': True, 'details': 'User logged out from student role', 'request_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0', 'timestamp': '2025-08-27T18:38:45.566593'}
2025-08-27 18:38:56,216 - AUTH - INFO - Auth Event: {'username': 'ravishyam121', 'event_type': 'FACULTY_LOGIN_SUCCESS', 'success': True, 'details': 'Faculty Ravi Shyam logged in', 'request_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0', 'timestamp': '2025-08-27T18:38:56.216808'}
2025-08-27 18:40:38,905 - AUTH - INFO - Auth Event: {'username': 'ravishyam121', 'event_type': 'LOGOUT', 'success': True, 'details': 'User logged out from faculty role', 'request_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0', 'timestamp': '2025-08-27T18:40:38.905562'}
2025-08-27 18:40:45,365 - AUTH - INFO - Auth Event: {'username': 'student1', 'event_type': 'STUDENT_LOGIN_SUCCESS', 'success': True, 'details': 'Student Alice Johnson logged in', 'request_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0', 'timestamp': '2025-08-27T18:40:45.365058'}
